case_number,debtor_name,debtor_cnpj,cnpj_source,name_match,razao_social,situacao,situacao_desc,porte,capital_social,uf,municipio,cnae_desc,rfb_source,band,band_reasons,plan_status,stage,filing_year,last_movement,updated_at,display_name,display_source,verified_name,verified_cnpj,group_members,administrator,proceeding,verified_confidence,verified_evidence,verified_at
0007565-40.2020.8.17.2370,aludida empresa,09930165000137,reader,0.6301369863013698,CREDIMOVEIS NOVOLAR LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,DEMAIS,4300000,PE,CABO DE SANTO AGOSTINHO,Comércio a varejo de motocicletas e motonetas novas,minhareceita,C,"6y since filing, no plan document",ESTIMATED,ACTIVE,2020,2026-07-28,2026-09-04T16:58:31Z,CREDIMÓVEIS NOVOLAR LTDA.,pdf-read,CREDIMÓVEIS NOVOLAR LTDA.,09930165000137,[],LINDOSO E ARAUJO CONSULTORIA EMPRESARIAL LTDA. (responsável técnico José Luiz Lindoso da Silva),RJ,0.97,"849d4fe5 p.4: ""DOC. 01 RECUPERAÇÃO JUDICIAL DA CREDIMÓVEIS NOVOLAR LTDA. Nº 0007565-40.2020.8.17.2370 QUADRO GERAL DE CREDORES""; 5e274422 p.1: ""AÇÃO DE RECUPERAÇÃO JUDICIAL nº 0007565-40.2020.8.17.2370, proposta pela empresa CREDIMÓVEIS NOVOLAR LTDA., sociedade empresária limitada, inscrita no CNPJ/MF sob o nº 09.930.165/0001-37""",2026-09-04T16:58:30Z
0008458-20.2020.8.26.0482,- Autofalência,,,,,,,,,,,,,C,"6y since filing, no plan document",UNKNOWN,,2020,,2026-09-04T16:58:31Z,Autofalência,hint,,,,,,,,
0008526-45.2025.8.17.2001,ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS LTDA,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-07-31,2026-09-04T16:58:31Z,"Grupo Arruda (ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA, ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS LTDA, ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS DA BAHIA LTDA)",pdf-read,"Grupo Arruda (ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA, ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS LTDA, ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS DA BAHIA LTDA)",,"[""ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA"", ""ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS LTDA"", ""ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS DA BAHIA LTDA""]",DILIGENCE ADMINISTRAÇÃO EM RECUPERAÇÃO JUDICIAL E FALÊNCIA (CNPJ 23.062.374/0001-37; sócios Marcelo Paes Barreto e Paulo Roberto de Souza Junior),RJ,0.97,"p.3: 'EDITAL DE INTIMAÇÃO (Art. 52, § 1º, da Lei 11.101/2005 - LRF), Recuperação Judicial da REQUERENTE: ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA, ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS LTDA, ARRUDA & MELO COMERCIO E DISTRIBUICAO DE ALIMENTOS E BEBIDAS DA BAHIA LTDA, processo nº 0008526-45.2025.8.17.2001'",2026-09-04T16:58:30Z
0008897-71.2025.8.16.0017,Marques Administrações Judiciais,02790680000110,reader,0.7272727272727272,BE EIGHT INDUSTRIA E COMERCIO DE ROUPAS LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,DEMAIS,200000,PR,CIANORTE,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",minhareceita,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-06-30,2026-09-04T16:58:31Z,GRUPO BE EIGHT,pdf-read,GRUPO BE EIGHT,02790680000110,"[""BE EIGHT INDÚSTRIA E COMÉRCIO DE ROUPAS LTDA (CNPJ 02.790.680/0001-10)"", ""III MILÊNIO INDÚSTRIA E COMÉRCIO DE CONFECÇÕES LTDA (CNPJ 02.504.154/0001-46)"", ""LAVANDERIA E TINTURARIA NN LTDA (CNPJ 04.926.609/0001-47)"", ""S.S. NABHAN CONFECÇÕES LTDA (CNPJ 03.965.693/0001-45)""]",M. MARQUES SOCIEDADE INDIVIDUAL DE ADVOCACIA (Marques Administrações Judiciais; signatory Marcio Roberto Marques),RJ,0.97,"a9431b5b p.1: 'RELAÇÃO GERAL DE CREDORES Nome / Razão Social: BE EIGHT INDÚSTRIA E COMÉRCIO DE ROUPAS LTDA 02.790.680/0001-10 ... III MILÊNIO INDÚSTRIA E COMÉRCIO DE CONFECÇÕES LTDA 02.504.154/0001-46 LAVANDERIA E TINTURARIA NN LTDA 04.926.609/0001-47 03.965.693/0001-45 S.S. NABHAN CONFECÇÕES LTDA RELAÇÃO DA AJ (art. 7°, § 2°, LRF)'; 1180d0ff p.1: 'ajuizada na data de 08/04/2025, por BE EIGHT INDÚ",2026-09-04T16:58:30Z
0009339-09.2024.8.17.2001,Cuida-se de pedido de recuperação judicia,03595778000189,doc:fd56b1b4 score=2,0.5436893203883495,HOSPITAL DE ASSISTENCIA DOMICILIAR LTDA - EM RECUPERACAO JUDICIAL,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-07-24,2026-09-04T16:58:31Z,HOSPITAL DE ASSISTENCIA DOMICILIAR LTDA - EM RECUPERACAO JUDICIAL,rfb,,,,,,,,
0009773-70.2012.8.26.0577,Recuperações Judiciais – Brasil Trustee,,,,,,,,,,,,,C,"14y since filing, no plan document",UNKNOWN,,2012,,2026-09-04T16:58:31Z,Brasil Trustee,hint,,,,,,,,
0009800-26.2026.8.16.0194,Electra Comercia,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2026,2026-06-30,2026-09-04T16:58:31Z,Electra Comercia,hint,,,,,,,,
0009914-62.2008.8.17.0001,E FALENCIA,,,,,,,,,,,,,C,"18y since filing, no plan document",UNKNOWN,,2008,,2026-09-04T16:58:31Z,GEORGE ODISIO COMERCIO E REPRESENTACOES LTDA,hint,,,,,,,,
0009971-62.2026.8.17.2810,formulado por GOLD MEGAÓ INDÚSTRIA DE TINTAS LTDA,29788820000171,doc:363f13a9 score=2,0.8095238095238095,GOLD MEGAO INDUSTRIA DE TINTAS LTDA,02,ATIVA,DEMAIS,2500000,PE,JABOATAO DOS GUARARAPES,"Fabricação de tintas, vernizes, esmaltes e lacas",minhareceita,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2026,2026-07-31,2026-09-04T16:58:31Z,GOLD MEGAO INDUSTRIA DE TINTAS LTDA,rfb,,,,,,,,
0010173-64.2023.8.17.2480,E FALENCIA,,,,,,,,,,,,,B,"live case, no plan document yet",UNKNOWN,,2023,,2026-09-04T16:58:31Z,,,,,,,,,,
0010193-34.2013.8.19.0028,,32247009000198,reader,0.9354838709677419,SERMAP COMERCIO E SERVICOS LTDA,04,INAPTA,DEMAIS,5000000,RJ,MACAE,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",minhareceita,D,debtor not ATIVA at RFB (04),UNKNOWN,,2013,,2026-09-04T16:58:31Z,SERMAP COMÉRCIO E SERVIÇOS LTDA,pdf-read,SERMAP COMÉRCIO E SERVIÇOS LTDA,32247009000198,[],,RJ,0.8,"p.2 letterhead: ""SERMAP COMÉRCIO E SERVIÇO!T OA [SERIWAP] -Aloisio do Siha Gomos, 161-Granjo ... Q>Fj: 32.247. Q09/000I-68 ... LISTA DE CREDORES / DEVEDORA CREDOR ENDEREÇO REGISTRO CONTABIL ORIGEM NATUREZA VALOR DO CRÉDITO""; p.16 stamp: ""rã2.247 .009/0001-981 SERMAP Comércio e Serviços Ltda. Rua Aloísio da Silva Gomes, 161 ... MACAÉ - RJ.""",2026-09-04T16:58:30Z
0010297-16.2019.8.19.0028,ALPHATEC INOVAÇÃO EM INFRAESTRUTURA - Real Brasil Consultoria,,,,,,,,,,,,,C,"7y since filing, no plan document",UNKNOWN,,2019,,2026-09-04T16:58:31Z,ALPHATEC INOVAÇÃO EM INFRAESTRUTURA,hint,,,,,,,,
0010727-38.2021.5.15.0002,Ativos,,,,,,,,,,,,,C,"5y since filing, no plan document",UNKNOWN,,2021,,2026-09-04T16:58:31Z,,,,,,,,,,
0011139-61.2024.5.15.0002,Meqso Distribuição S.A. e outros – VTL,,,,,,,,,,,,,B,"live case, no plan document yet",UNKNOWN,,2024,,2026-09-04T16:58:31Z,Meqso Distribuição S.A. e outros,hint,,,,,,,,
0011144-26.2026.8.17.2001,e a necessidade da autofalência,,,,,,,,,,,,,B,"live case, no plan document yet",UNKNOWN,,2026,,2026-09-04T16:58:31Z,Autofalência,hint,,,,,,,,
0011283-80.2023.8.17.2001,Náutico - Página — Lindoso e Araujo,08145021000107,doc:5f7f0a40 score=2,0.44705882352941173,CLUBE NAUTICO CAPIBARIBE - EM RECUPERACAO JUDICIAL,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2023,2026-07-30,2026-09-04T16:58:31Z,CLUBE NÁUTICO CAPIBARIBE,pdf-read,CLUBE NÁUTICO CAPIBARIBE,08145021000107,[],"LINDOSO E ARAUJO CONSULTORIA EMPRESARIAL LTDA (José Luiz Lindoso da Silva / Ana Claudia Vasconcelos Araujo Weinberg) and LRF-LIDERES EM RECUPERACAO JUDICIAL, CNPJ 16.611.762/0001-64 (Natalia Pimentel Lopes) — co-administrators",RJ,0.98,24cf2f95 p.1-2: 'Processo nº 0011283-80.2023.8.17.2001 / Recuperação Judicial / RECUPERANDA: CLUBE NAUTICO CAPIBARIBE ... ADMINISTRADOR JUDICIAL LINDOSO E ARAUJO CONSULTORIA EMPRESARIAL LTDA ... LRF-LIDERES EM RECUPERACAO JUDICIAL'; 'RECUPERAÇÃO JUDICIAL DO CLUBE NÁUTICO CAPIBARIBE ... inscrita no CNPJ nº 08.145.021/0001-07'; 88742494 p.7: 'CLUBE NAUTICO CAPIBARIBE / RESUMO DA LISTA DE CREDORES',2026-09-04T16:58:30Z
0011441-85.2025.8.17.2480,E FALENCIA,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-07-29,2026-09-04T16:58:31Z,GRUPO NEPHRONCARE,hint,,,,,,,,
0011774-52.2015.8.17.0810,GRATICIA,16611762000164,doc:ded6d3d7 score=3,0.1395348837209302,"LRF - LIDERES EM RECUPERACAO JUDICIAL, FALENCIA E CONSULTORIA EMPRESARIAL LTDA",,,,,,,,NAME_MISMATCH,C,"11y since filing, no plan document",UNKNOWN,,2015,,2026-09-04T16:58:31Z,"LRF - LIDERES EM RECUPERACAO JUDICIAL, FALENCIA E CONSULTORIA EMPRESARIAL LTDA",rfb,,,,,,,,
0012043-76.2016.8.16.0069,B. D. VEST CONFECÇÕES LTDA,02656196000100,doc:640f9f90 score=5,0.6122448979591837,B D VESTCONFECCOES LTDA,02,ATIVA,DEMAIS,350000,PR,CIANORTE,"Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança",minhareceita,C,"10y since filing, no plan document",UNKNOWN,,2016,,2026-09-04T16:58:31Z,B D VESTCONFECCOES LTDA,rfb,,,,,,,,
0012245-43.2022.8.16.0069,Marques Administrações Judiciais,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2022,2026-06-30,2026-09-04T16:58:31Z,,,,,,,,,,
0012812-06.2016.8.19.0068,PORPLAN Construtora LTDA EPP - Real Brasil Consultoria,,,,,,,,,,,,,C,"10y since filing, no plan document",UNKNOWN,,2016,,2026-09-04T16:58:31Z,PORPLAN Construtora LTDA EPP,hint,,,,,,,,
0012822-66.2019.8.16.0185,Marques Administrações Judiciais,,,,,,,,,,,,,A,plan/homologation document found,CONFIRMED,,2019,,2026-09-04T16:58:31Z,,,,,,,,,,
0012922-23.2003.8.17.0001,E FALENCIA,10588374000123,doc:10352e47 score=3,0.3783783783783784,BAMAM E ROCHA LTDA - FALIDO,,,,,,,,NAME_MISMATCH,C,"23y since filing, no plan document",UNKNOWN,,2003,,2026-09-04T16:58:31Z,BAMAN E ROCHA LTDA,hint,,,,,,,,
0013123-93.2017.5.15.0077,Grupo Leader – Processo nº  0047010-37.2020.8.19.0001 – e-mail: admjudleader@inova-aj.com.br – INOVA,,,,,,,,,,,,,C,"9y since filing, no plan document",UNKNOWN,,2017,,2026-09-04T16:58:31Z,Grupo Leader,hint,,,,,,,,
0013786-82.2015.8.21.0016,PELA EMPRESA,,,,,,,,,,,,,C,"11y since filing, no plan document",UNKNOWN,,2015,,2026-09-04T16:58:31Z,,,,,,,,,,
0014118-50.2014.8.19.0045,Servatis S/A – Processo nº 0014118-50.2014.8.19.0045 – e-mail: admjudservatis@inova-aj.com.br – INOVA,,,,,,,,,,,,,C,"12y since filing, no plan document",UNKNOWN,,2014,,2026-09-04T16:58:31Z,Servatis S/A,hint,,,,,,,,
0015488-29.2018.8.17.2810,CENTRO DE TRATAMENTO RENAL ZONA SUL LTDA,03648189000111,doc:fd5db755 score=3,1.0,CENTRO DE TRATAMENTO RENAL ZONA SUL LTDA - EM RECUPERACAO JUDICIAL,02,ATIVA,DEMAIS,100000,PE,JABOATAO DOS GUARARAPES,Serviços de diálise e nefrologia,minhareceita,C,"8y since filing, no plan document",UNKNOWN,,2018,,2026-09-04T16:58:31Z,CENTRO DE TRATAMENTO RENAL ZONA SUL LTDA,pdf-read,CENTRO DE TRATAMENTO RENAL ZONA SUL LTDA,03648189000111,[],LINDOSO E ARAUJO CONSULTORIA EMPRESARIAL,RJ,0.98,"05e15e3a p.1: 'Processo nº 0015488-29.2018.8.17.2810 REQUERENTE: CENTRO DE TRATAMENTO RENAL ZONA SUL LTDA ... EDITAL RECUPERAÇÃO JUDICIAL DO CENTRO DE TRATAMENTO RENAL ZONA SUL LTDA ... a sociedade administradora judicial LINDOSO E ARAUJO CONSULTORIA EMPRESARIAL apresentou a relação de credores a que alude o art. 7º, § 2º'; fd5db755 p.1: 'proposta pela empresa CENTRO DE TRATAMENTO RENAL ZONA SUL L",2026-09-04T16:58:30Z
0016033-22.2025.8.16.0017,KADIMA EMPREENDIMENTOS subscrevi e assinei. E PARTICIPAÇÕES S.A,00073485000143,doc:2b3afeed score=5,0.6829268292682927,KADIMA EMPREENDIMENTOS E PARTICIPACOES EM RECUPERACAO JUDICIAL,02,ATIVA,DEMAIS,9836168,PR,MARINGA,"Outras sociedades de participação, exceto holdings",minhareceita,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-06-23,2026-09-04T16:58:31Z,GRUPO MARINGÁ PARK,pdf-read,GRUPO MARINGÁ PARK,00073485000143,"[""KADIMA EMPREENDIMENTOS E PARTICIPAÇÕES S.A. (CNPJ 00.073.485/0001-43)"", ""MGF PROMOÇÕES E EVENTOS LTDA (CNPJ 04.566.746/0001-18)"", ""MPSC ADMINISTRADORA E LOCADORA DE BENS LTDA (CNPJ 20.164.511/0001-56)"", ""SKIPTON S.A. (CNPJ 03.405.796/0001-50)""]",M. MARQUES SOCIEDADE INDIVIDUAL DE ADVOCACIA (Marques Administrações Judiciais; signatory Marcio Roberto Marques),RJ,0.97,"fcb10a25 p.1: 'RELAÇÃO GERAL DE CREDORES Nome / Razão Social: CNPJ: KADIMA EMPREENDIMENTOS E PARTICIPAÇÕES S.A. 00.073.485/0001-43 ... MGF PROMOÇÕES E EVENTOS LTDA 04.566.746/0001-18 ... MPSC ADMINISTRADORA E LOCADORA DE BENS LTDA 20.164.511/0001-56 ... SKIPTON S.A. 03.405.796/0001-50 RELAÇÃO DA AJ (art. 7°, § 2°, LRF)'; 2b3afeed p.1: 'RECUPERAÇÃO JUDICIAL DE KADIMA EMPREENDIMENTOS E PARTICIPAÇÕES",2026-09-04T16:58:30Z
0016474-19.2022.8.03.0001,PARANAPANEMA DISTRIBUIDORA DE COMBUSTÍVEIS LTDA,05411176000664,doc:b3e3d2a5 score=5,0.8395061728395062,PARANAPANEMA DISTRIBUIDORA DE COMBUSTIVEIS LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,MICRO EMPRESA,9300000,AP,MACAPA,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re",minhareceita,B,"live case, no plan document yet",UNKNOWN,,2022,,2026-09-04T16:58:31Z,PARANAPANEMA DISTRIBUIDORA DE COMBUSTIVEIS LTDA EM RECUPERACAO JUDICIAL,rfb,,,,,,,,
0016858-63.2025.8.16.0017,- ACD PEÇAS MARINGÁ LTDA,33612315000149,doc:b10e169c score=5,0.6,ACD PECAS MARINGA LTDA EM RECUPERACAO JUDICIAL,02,ATIVA,MICRO EMPRESA,278000,PR,MARINGA,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,minhareceita,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-06-30,2026-09-04T16:58:31Z,ACD PECAS MARINGA LTDA EM RECUPERACAO JUDICIAL,rfb,,,,,,,,
0016951-30.2019.8.16.0019,CONVOLADA EM FALÊNCIA,,,,,,,,,,,,,C,"7y since filing, no plan document",UNKNOWN,,2019,,2026-09-04T16:58:31Z,CONVOLADA EM FALÊNCIA,hint,,,,,,,,
0017235-66.1986.8.19.0001,EMAQ Engenharia e Máquinas S/A – 0017235-66.1986.8.19.0001 – INOVA,,,,,,,,,,,,,C,"40y since filing, no plan document",UNKNOWN,,1986,,2026-09-04T16:58:31Z,EMAQ Engenharia e Máquinas S/A,hint,,,,,,,,
0019289-97.2025.8.06.0001,SIGNUS CONSTRUÇÕES E ASSESSORIA TÉCNICA LTDA,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-06-16,2026-09-04T16:58:31Z,SIGNUS CONSTRUÇÕES E ASSESSORIA TÉCNICA LTDA,hint,,,,,,,,
0019761-43.2024.8.17.2001,GRUPO ADLIM – LRF Líderes em Recuperação Judicial e Falência,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-07-31,2026-09-04T16:58:31Z,GRUPO ADLIM,pdf-read,GRUPO ADLIM,,"[""ADLIM TERCEIRIZAÇÃO EM SERVIÇOS LTDA (CNPJ 11.436.813/0001-45)"", ""ÁGUIA SERVIÇOS DE VIGILÂNCIA LTDA (CNPJ 11.516.861/0001-43)"", ""ADLIM SERVIÇOS ESPECIALIZADOS LTDA / ADLIM TERCEIRIZACAO EM SERVICOS ESPECIALIZADOS LTDA (CNPJ 07.688.177/0001-71)""]","LRF – Líderes em Recuperação Judicial, Falência e Consultoria Empresarial Ltda (Natália Pimentel Lopes) and Lindoso e Araujo Consultoria Empresarial Ltda (José Luiz Lindoso da Silva) — co-administradoras judiciais",RJ,0.95,"p1 (a3249779): 'Processo nº 0019761-43.2024.8.17.2001 REQUERENTE/ RECUPERANDA: ADLIM-TERCEIRIZACAO EM SERVICOS LTDA, AGUIA SERVICOS DE VIGILANCIA LTDA, ADLIM TERCEIRIZACAO EM SERVICOS ESPECIALIZADOS LTDA ... ADMINISTRADOR JUDICIAL: LRF – LÍDERES EM RECUPERAÇÃO JUDICIAL, FALÊNCIA E CONSULTORIA EMPRESARIAL LTDA E LINDOSO E ARAUJO ... que o GRUPO ADLIM'",2026-09-04T16:58:30Z
0020255-24.2020.5.04.0104,,12377080000188,doc:2407a56c score=2,,ATACADO UNIAO LTDA,02,ATIVA,DEMAIS,79810750,ES,SERRA,Comércio por atacado de peças e acessórios novos para veículos automotores,minhareceita,C,"6y since filing, no plan document",UNKNOWN,,2020,,2026-09-04T16:58:31Z,ATACADO UNIAO LTDA,rfb,,,,,,,,
0020265-79.2017.5.04.0102,Catalise Administração Judicial,,,,,,,,,,,,,C,"9y since filing, no plan document",UNKNOWN,,2017,,2026-09-04T16:58:31Z,,,,,,,,,,
0020395-10.2020.8.19.0001,SOCIEDADES COLÉGIO MIGUEL COUTO LTDA,,,,,,,,,,,,,C,"6y since filing, no plan document",UNKNOWN,,2020,,2026-09-04T16:58:31Z,SOCIEDADES COLÉGIO MIGUEL COUTO LTDA,hint,,,,,,,,
0021370-77.2024.8.16.0194,"Compet Agro Florestal S.A, Antônio de Pauli S.A e Empreendimentos Florestais Paraná LTDA. | Administração Judicial - Credibilità",,,,,,,,,,,,,B,"live case, no plan document yet",UNKNOWN,,2024,,2026-09-04T16:58:31Z,"Compet Agro Florestal S.A, Antônio de Pauli S.A e Empreendimentos Florestais Paraná LTDA.",hint,,,,,,,,
0021390-07.2025.5.04.0004,CM DISTRIBUIDORA DE CARNES LTDA. | Administração Judicial - Credibilità,,,,,,,,,,,,,B,"live case, no plan document yet",UNKNOWN,,2025,,2026-09-04T16:58:31Z,CM DISTRIBUIDORA DE CARNES LTDA.,hint,,,,,,,,
0022066-39.2018.8.19.0001,SOCIEDADE RECICLYN COMERCIO E INDÚSTRIA DE METAIS LTDA,,,,,,,,,,,,,C,"8y since filing, no plan document",UNKNOWN,,2018,,2026-09-04T16:58:31Z,SOCIEDADE RECICLYN COMERCIO E INDÚSTRIA DE METAIS LTDA,hint,,,,,,,,
0022845-08.2013.8.24.0008,BLUTRAFOS BLUMENAU TRANSFORMADORES LTDA – Sgrott Administradora Judicial e Consultoria Empresarial,,,,,,,,,,,,,C,"13y since filing, no plan document",UNKNOWN,,2013,,2026-09-04T16:58:31Z,BLUTRAFOS BLUMENAU TRANSFORMADORES LTDA,hint,,,,,,,,
0023643-13.2006.8.24.0008,- COM PRAZO DE 30 DIAS Recuperação Judicia,,,,,,,,,,,,,C,"20y since filing, no plan document",UNKNOWN,,2006,,2026-09-04T16:58:31Z,COM PRAZO DE 30 DIAS Recuperação Judicia,hint,,,,,,,,
0024643-24.2017.8.19.0001,Engetécnica Serviços e Construções Ltda. e Construtora Zadar Ltda. – Processo nº 0024643-24.2017.8.19.0001 – e-mail: admjudzadar@inova-aj.com.br – INOVA,33845322002134,doc:b37e6542 score=5,0.22857142857142862,A GERADORA ALUGUEL DE MAQUINAS S.A.,,,,,,,,NAME_MISMATCH,C,"9y since filing, no plan document",UNKNOWN,,2017,,2026-09-04T16:58:31Z,Engetécnica Serviços e Construções Ltda. e Construtora Zadar Ltda.,hint,,,,,,,,
0024789-58.2015.8.21.0008,SCZ Scalzilli Administração Judicial,,,,,,,,,,,,,C,"11y since filing, no plan document",UNKNOWN,,2015,,2026-09-04T16:58:31Z,,,,,,,,,,
0025258-69.2016.8.16.0021,Grupo Globoaves | Administração Judicial - Credibilità,,,,,,,,,,,,,C,"10y since filing, no plan document",UNKNOWN,,2016,,2026-09-04T16:58:31Z,Grupo Globoaves,hint,,,,,,,,
0026172-78.2019.8.17.2001,e Falência,,,,,,,,,,,,,C,"7y since filing, no plan document",UNKNOWN,,2019,,2026-09-04T16:58:31Z,CONSTRUTORA DALLAS LTDA,hint,,,,,,,,
0026395-77.2025.8.16.0019,GRUPO FOREST – Sgrott Administradora Judicial e Consultoria Empresarial,07155032000105,reader,0.6666666666666665,FOREST PAPER INDUSTRIA E COMERCIO DE PAPEL S/A EM RECUPERACAO JUDICIAL,02,ATIVA,DEMAIS,33546668,PR,TELEMACO BORBA,"Fabricação de produtos de papel, cartolina, papel cartão e papelão ondulado para uso comercial e de escritório, exceto formulário contínuo",minhareceita,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-06-30,2026-09-04T16:58:31Z,GRUPO FOREST,pdf-read,GRUPO FOREST,07155032000105,"[""Forest Paper Comércio de Papéis Lages Ltda. (CNPJ 46.427.485/0001-03)"", ""Forest Paper Comércio de Papéis Espírito Santo Ltda. (CNPJ 43.804.835/0001-07)"", ""Forest Paper Indústria e Comércio de Papel S.A. (CNPJ 07.155.032/0001-05)"", ""Greenpar Reciclagem de Papéis S.A. (CNPJ 23.291.273/0001-38)"", ""Forest Paper Indústria e Comércio de Papel Mairiporã Ltda. (CNPJ 46.426.147/0001-49)"", ""Onze Indústria de Papéis S.A. (CNPJ 82.221.730/0001-87)""]","Sgrott Administradora Judicial (CNPJ 19.966.131/0001-56, Gilson Amilton Sgrott)",RJ,0.95,"[12e12dae p.5] RELAÇÃO DE CREDORES DO ART. 7, §2° DA LEI 11.101/05 Recuperação judicial de Forest Paper Comércio de Papéis Lages Ltda. CNPJ 46.427.485/0001-03 ... Forest Paper Indústria e Comércio de Papel S.A. CNPJ 07.155.032/0001-05 ... Número dos Autos: 0026395-77.2025.8.16.0019 ... Administrador Judicial: Sgrott Administradora Judicial [p.6] RELAÇÃO DE CREDORES DO ADMINISTRADOR JUDICIAL (Art. ",2026-09-04T16:58:30Z
0028131-73.2024.8.16.0017,"ENIVALDO BARELLA TIRONI, MATEUS INFORMATICA LIMITADA",23706398000181,doc:70eb7014 score=5,0.8695652173913043,AEGRO INFORMATICA LIMITADA,02,ATIVA,DEMAIS,19663036,RS,PORTO ALEGRE,Desenvolvimento e licenciamento de programas de computador não-customizáveis,minhareceita,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-06-30,2026-09-04T16:58:31Z,"ENIVALDO BARELLA TIRONI, MATEUS MANHANI BARELLA, LEILA REGINA MANHANI BARELLA, B&F AGRO COMÉRCIO DE GRÃOS E INSUMOS AGRÍCOLAS LTDA, BARELLA & FILHOS LTDA E M M LOCAÇÃO EIRELI",pdf-read,"ENIVALDO BARELLA TIRONI, MATEUS MANHANI BARELLA, LEILA REGINA MANHANI BARELLA, B&F AGRO COMÉRCIO DE GRÃOS E INSUMOS AGRÍCOLAS LTDA, BARELLA & FILHOS LTDA E M M LOCAÇÃO EIRELI",,"[""ENIVALDO BARELLA TIRONI"", ""MATEUS MANHANI BARELLA"", ""LEILA REGINA MANHANI BARELLA"", ""B&F AGRO COMÉRCIO DE GRÃOS E INSUMOS AGRÍCOLAS LTDA"", ""BARELLA & FILHOS LTDA"", ""M M LOCAÇÃO EIRELI""]",SCZ Scalzilli Administração Judicial (Scalzilli),RJ,0.9,"p.1: 'EDITAL DO ART. 7º, §2º, E AVISO DO ART. 53, PARÁGRAFO ÚNICO ... 3ª VARA CÍVEL E EMPRESARIAL DA COMARCA DE MARINGÁ/PR. NATUREZA: RECUPERAÇÃO DE EMPRESA. PROCESSO Nº 0028131-73.2024.8.16.0017. AUTOR: ENIVALDO BARELLA TIRONI, MATEUS MANHANI BARELLA, LEILA REGINA MANHANI BARELLA, B&F AGRO COMÉRCIO DE GRÃOS E INSUMOS AGRÍCOLAS LTDA, BARELLA & FILHOS LTDA E M M LOCAÇÃO EIRELI'",2026-09-04T16:58:30Z
0028903-37.2025.8.17.2001,formulado por Educacional Cordeiro e O liveira Ltda,,,,,,,,,,,,,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2025,2026-07-28,2026-09-04T16:58:31Z,formulado por Educacional Cordeiro e O liveira Ltda,hint,,,,,,,,
0029070-63.2018.8.16.0017,AOCP ASSESSORIA EM ORGANIZAÇÃO DE CONCURSOS PÚBLICOS LTDA,03546295000194,doc:8f0e2375 score=5,0.9310344827586207,AOCP - ASSESSORIA EM ORGANIZACAO DE CONCURSOS PUBLICOS LTDA,02,ATIVA,DEMAIS,4000000,PR,MARINGA,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",minhareceita,C,"8y since filing, no plan document",UNKNOWN,,2018,,2026-09-04T16:58:31Z,AOCP - ASSESSORIA EM ORGANIZACAO DE CONCURSOS PUBLICOS LTDA,rfb,,,,,,,,
